X,CH1,CH2,
-4.34275e-01,4.56e-01,2.64e+00,
-4.34202e-01,4.56e-01,2.62e+00,
-4.34129e-01,4.56e-01,2.64e+00,
-4.34056e-01,4.48e-01,2.64e+00,
-4.33982e-01,4.80e-01,2.62e+00,
-4.33909e-01,4.48e-01,2.62e+00,
-4.33836e-01,4.88e-01,2.64e+00,
-4.33763e-01,4.88e-01,2.62e+00,
-4.33689e-01,4.40e-01,2.62e+00,
-4.33616e-01,3.52e-01,2.62e+00,
-4.33543e-01,4.80e-01,2.62e+00,
-4.33470e-01,4.48e-01,2.64e+00,
-4.33396e-01,4.88e-01,2.64e+00,
-4.33323e-01,4.64e-01,2.62e+00,
-4.33250e-01,4.64e-01,2.62e+00,
-4.33177e-01,4.88e-01,2.64e+00,
-4.33104e-01,5.60e-01,2.64e+00,
-4.33030e-01,4.56e-01,2.64e+00,
-4.32957e-01,4.16e-01,2.62e+00,
-4.32884e-01,4.48e-01,2.64e+00,
-4.32811e-01,4.00e-01,2.64e+00,
-4.32737e-01,4.72e-01,2.62e+00,
-4.32664e-01,4.24e-01,2.62e+00,
-4.32591e-01,4.32e-01,2.62e+00,
-4.32518e-01,4.88e-01,2.64e+00,
-4.32444e-01,4.72e-01,2.64e+00,
-4.32371e-01,4.80e-01,2.64e+00,
-4.32298e-01,5.28e-01,2.64e+00,
-4.32225e-01,4.64e-01,2.64e+00,
-4.32151e-01,5.12e-01,2.64e+00,
-4.32078e-01,4.88e-01,2.64e+00,
-4.32005e-01,5.28e-01,2.64e+00,
-4.31932e-01,5.44e-01,2.64e+00,
-4.31858e-01,4.88e-01,2.64e+00,
-4.31785e-01,4.96e-01,2.64e+00,
-4.31712e-01,4.80e-01,2.64e+00,
-4.31639e-01,4.40e-01,2.64e+00,
-4.31565e-01,4.96e-01,2.64e+00,
-4.31492e-01,4.56e-01,2.64e+00,
-4.31419e-01,4.88e-01,2.64e+00,
-4.31346e-01,4.32e-01,2.64e+00,
-4.31272e-01,4.24e-01,2.64e+00,
-4.31199e-01,5.04e-01,2.64e+00,
-4.31126e-01,4.88e-01,2.62e+00,
-4.31053e-01,5.12e-01,2.62e+00,
-4.30979e-01,5.12e-01,2.64e+00,
-4.30906e-01,5.04e-01,2.62e+00,
-4.30833e-01,5.20e-01,2.64e+00,
-4.30760e-01,4.72e-01,2.62e+00,
-4.30687e-01,5.04e-01,2.62e+00,
-4.30613e-01,4.56e-01,2.64e+00,
-4.30540e-01,5.20e-01,2.64e+00,
-4.30467e-01,5.76e-01,2.62e+00,
-4.30394e-01,5.84e-01,2.64e+00,
-4.30320e-01,6.24e-01,2.64e+00,
-4.30247e-01,5.04e-01,2.64e+00,
-4.30174e-01,5.60e-01,2.64e+00,
-4.30101e-01,5.20e-01,2.64e+00,
-4.30027e-01,5.76e-01,2.64e+00,
-4.29954e-01,5.84e-01,2.64e+00,
-4.29881e-01,6.00e-01,2.64e+00,
-4.29808e-01,5.76e-01,2.64e+00,
-4.29734e-01,5.68e-01,2.64e+00,
-4.29661e-01,5.76e-01,2.62e+00,
-4.29588e-01,5.52e-01,2.62e+00,
-4.29515e-01,5.60e-01,2.66e+00,
-4.29441e-01,5.68e-01,2.64e+00,
-4.29368e-01,5.68e-01,2.64e+00,
-4.29295e-01,5.76e-01,2.64e+00,
-4.29222e-01,5.20e-01,2.64e+00,
-4.29148e-01,5.20e-01,2.64e+00,
-4.29075e-01,5.04e-01,2.64e+00,
-4.29002e-01,5.04e-01,2.64e+00,
-4.28929e-01,5.12e-01,2.64e+00,
-4.28855e-01,5.84e-01,2.64e+00,
-4.28782e-01,6.00e-01,2.64e+00,
-4.28709e-01,5.76e-01,2.64e+00,
-4.28636e-01,5.60e-01,2.64e+00,
-4.28563e-01,5.12e-01,2.64e+00,
-4.28489e-01,4.48e-01,2.64e+00,
-4.28416e-01,4.24e-01,2.64e+00,
-4.28343e-01,4.64e-01,2.64e+00,
-4.28270e-01,5.68e-01,2.64e+00,
-4.28196e-01,6.24e-01,2.64e+00,
-4.28123e-01,5.84e-01,2.64e+00,
-4.28050e-01,5.52e-01,2.64e+00,
-4.27977e-01,4.88e-01,2.66e+00,
-4.27903e-01,4.96e-01,2.64e+00,
-4.27830e-01,5.60e-01,2.64e+00,
-4.27757e-01,6.32e-01,2.64e+00,
-4.27684e-01,6.56e-01,2.64e+00,
-4.27610e-01,5.92e-01,2.64e+00,
-4.27537e-01,5.04e-01,2.64e+00,
-4.27464e-01,4.40e-01,2.66e+00,
-4.27391e-01,5.12e-01,2.64e+00,
-4.27317e-01,5.68e-01,2.64e+00,
-4.27244e-01,6.24e-01,2.64e+00,
-4.27171e-01,5.20e-01,2.64e+00,
-4.27098e-01,5.76e-01,2.64e+00,
-4.27024e-01,5.92e-01,2.66e+00,
-4.26951e-01,5.68e-01,2.64e+00,
-4.26878e-01,5.04e-01,2.64e+00,
-4.26805e-01,5.20e-01,2.64e+00,
-4.26731e-01,5.04e-01,2.64e+00,
-4.26658e-01,5.28e-01,2.64e+00,
-4.26585e-01,5.20e-01,2.64e+00,
-4.26512e-01,5.68e-01,2.64e+00,
-4.26438e-01,5.44e-01,2.66e+00,
-4.26365e-01,5.60e-01,2.64e+00,
-4.26292e-01,5.28e-01,2.62e+00,
-4.26219e-01,5.52e-01,2.64e+00,
-4.26146e-01,5.20e-01,2.64e+00,
-4.26072e-01,5.20e-01,2.64e+00,
-4.25999e-01,5.68e-01,2.64e+00,
-4.25926e-01,5.28e-01,2.66e+00,
-4.25853e-01,5.60e-01,2.64e+00,
-4.25779e-01,5.52e-01,2.64e+00,
-4.25706e-01,5.44e-01,2.64e+00,
-4.25633e-01,5.52e-01,2.66e+00,
-4.25560e-01,5.68e-01,2.64e+00,
-4.25486e-01,5.52e-01,2.66e+00,
-4.25413e-01,5.84e-01,2.64e+00,
-4.25340e-01,5.52e-01,2.66e+00,
-4.25267e-01,5.44e-01,2.64e+00,
-4.25193e-01,5.52e-01,2.64e+00,
-4.25120e-01,5.68e-01,2.64e+00,
-4.25047e-01,5.44e-01,2.66e+00,
-4.24974e-01,5.60e-01,2.64e+00,
-4.24900e-01,5.60e-01,2.66e+00,
-4.24827e-01,5.84e-01,2.64e+00,
-4.24754e-01,5.60e-01,2.66e+00,
-4.24681e-01,5.76e-01,2.64e+00,
-4.24607e-01,5.28e-01,2.64e+00,
-4.24534e-01,5.68e-01,2.64e+00,
-4.24461e-01,5.44e-01,2.64e+00,
-4.24388e-01,5.60e-01,2.66e+00,
-4.24314e-01,5.76e-01,2.64e+00,
-4.24241e-01,5.60e-01,2.64e+00,
-4.24168e-01,5.52e-01,2.66e+00,
-4.24095e-01,5.76e-01,2.66e+00,
-4.24021e-01,5.44e-01,2.64e+00,
-4.23948e-01,5.76e-01,2.66e+00,
-4.23875e-01,5.60e-01,2.66e+00,
-4.23802e-01,5.20e-01,2.66e+00,
-4.23729e-01,5.44e-01,2.66e+00,
-4.23655e-01,5.52e-01,2.66e+00,
-4.23582e-01,4.88e-01,2.66e+00,
-4.23509e-01,5.60e-01,2.64e+00,
-4.23436e-01,5.52e-01,2.64e+00,
-4.23362e-01,5.92e-01,2.66e+00,
-4.23289e-01,6.64e-01,2.66e+00,
-4.23216e-01,6.24e-01,2.66e+00,
-4.23143e-01,6.32e-01,2.66e+00,
-4.23069e-01,6.32e-01,2.66e+00,
-4.22996e-01,5.76e-01,2.66e+00,
-4.22923e-01,5.84e-01,2.64e+00,
-4.22850e-01,5.84e-01,2.64e+00,
-4.22776e-01,5.52e-01,2.64e+00,
-4.22703e-01,6.00e-01,2.66e+00,
-4.22630e-01,5.44e-01,2.66e+00,
-4.22557e-01,5.68e-01,2.66e+00,
-4.22483e-01,5.12e-01,2.66e+00,
-4.22410e-01,5.44e-01,2.66e+00,
-4.22337e-01,6.00e-01,2.66e+00,
-4.22264e-01,5.52e-01,2.66e+00,
-4.22190e-01,5.52e-01,2.64e+00,
-4.22117e-01,5.76e-01,2.66e+00,
-4.22044e-01,5.84e-01,2.66e+00,
-4.21971e-01,6.40e-01,2.66e+00,
-4.21897e-01,6.16e-01,2.66e+00,
-4.21824e-01,6.48e-01,2.64e+00,
-4.21751e-01,6.40e-01,2.66e+00,
-4.21678e-01,5.76e-01,2.66e+00,
-4.21604e-01,6.56e-01,2.66e+00,
-4.21531e-01,6.16e-01,2.64e+00,
-4.21458e-01,6.08e-01,2.66e+00,
-4.21385e-01,5.84e-01,2.66e+00,
-4.21312e-01,5.44e-01,2.66e+00,
-4.21238e-01,5.84e-01,2.66e+00,
-4.21165e-01,5.68e-01,2.64e+00,
-4.21092e-01,6.24e-01,2.66e+00,
-4.21019e-01,5.92e-01,2.66e+00,
-4.20945e-01,5.20e-01,2.64e+00,
-4.20872e-01,5.68e-01,2.66e+00,
-4.20799e-01,5.04e-01,2.64e+00,
-4.20726e-01,5.92e-01,2.66e+00,
-4.20652e-01,5.68e-01,2.66e+00,
-4.20579e-01,5.76e-01,2.66e+00,
-4.20506e-01,6.00e-01,2.66e+00,
-4.20433e-01,5.52e-01,2.66e+00,
-4.20359e-01,6.24e-01,2.66e+00,
-4.20286e-01,6.16e-01,2.66e+00,
-4.20213e-01,6.32e-01,2.66e+00,
-4.20140e-01,6.40e-01,2.64e+00,
-4.20066e-01,6.00e-01,2.66e+00,
-4.19993e-01,5.92e-01,2.66e+00,
-4.19920e-01,6.16e-01,2.64e+00,
-4.19847e-01,6.00e-01,2.66e+00,
-4.19773e-01,6.08e-01,2.66e+00,
-4.19700e-01,6.08e-01,2.66e+00,
-4.19627e-01,6.32e-01,2.66e+00,
-4.19554e-01,6.08e-01,2.66e+00,
-4.19480e-01,6.08e-01,2.66e+00,
-4.19407e-01,5.84e-01,2.66e+00,
-4.19334e-01,5.68e-01,2.64e+00,
-4.19261e-01,6.00e-01,2.66e+00,
-4.19188e-01,5.76e-01,2.66e+00,
-4.19114e-01,5.84e-01,2.66e+00,
-4.19041e-01,5.52e-01,2.66e+00,
-4.18968e-01,5.52e-01,2.66e+00,
-4.18895e-01,6.32e-01,2.66e+00,
-4.18821e-01,6.48e-01,2.66e+00,
-4.18748e-01,7.04e-01,2.64e+00,
-4.18675e-01,7.84e-01,2.66e+00,
-4.18602e-01,7.84e-01,2.66e+00,
-4.18528e-01,7.28e-01,2.66e+00,
-4.18455e-01,6.16e-01,2.64e+00,
-4.18382e-01,5.20e-01,2.66e+00,
-4.18309e-01,4.96e-01,2.64e+00,
-4.18235e-01,4.88e-01,2.66e+00,
-4.18162e-01,6.24e-01,2.66e+00,
-4.18089e-01,7.36e-01,2.66e+00,
-4.18016e-01,7.44e-01,2.66e+00,
-4.17942e-01,6.56e-01,2.66e+00,
-4.17869e-01,5.84e-01,2.66e+00,
-4.17796e-01,5.12e-01,2.66e+00,
