X,CH1,
Second,Volt,
-6.90040e-01,3.20e-02,
-6.89940e-01,4.00e-02,
-6.89840e-01,2.40e-02,
-6.89740e-01,2.40e-02,
-6.89640e-01,2.40e-02,
-6.89540e-01,1.60e-02,
-6.89440e-01,1.60e-02,
-6.89340e-01,1.60e-02,
-6.89240e-01,1.60e-02,
-6.89140e-01,8.00e-03,
-6.89040e-01,8.00e-03,
-6.88940e-01,8.00e-03,
-6.88840e-01,8.00e-03,
-6.88740e-01,8.00e-03,
-6.88640e-01,0.00e+00,
-6.88540e-01,0.00e+00,
-6.88440e-01,0.00e+00,
-6.88340e-01,0.00e+00,
-6.88240e-01,0.00e+00,
-6.88140e-01,0.00e+00,
-6.88040e-01,0.00e+00,
-6.87940e-01,0.00e+00,
-6.87840e-01,0.00e+00,
-6.87740e-01,8.00e-03,
-6.87640e-01,0.00e+00,
-6.87540e-01,8.00e-03,
-6.87440e-01,0.00e+00,
-6.87340e-01,0.00e+00,
-6.87240e-01,0.00e+00,
-6.87140e-01,0.00e+00,
-6.87040e-01,8.00e-03,
-6.86940e-01,8.00e-03,
-6.86840e-01,0.00e+00,
-6.86740e-01,0.00e+00,
-6.86640e-01,8.00e-03,
-6.86540e-01,0.00e+00,
-6.86440e-01,0.00e+00,
-6.86340e-01,8.00e-03,
-6.86240e-01,0.00e+00,
-6.86140e-01,0.00e+00,
-6.86040e-01,8.00e-03,
-6.85940e-01,0.00e+00,
-6.85840e-01,8.00e-03,
-6.85740e-01,0.00e+00,
-6.85640e-01,0.00e+00,
-6.85540e-01,8.00e-03,
-6.85440e-01,8.00e-03,
-6.85340e-01,0.00e+00,
-6.85240e-01,0.00e+00,
-6.85140e-01,0.00e+00,
-6.85040e-01,0.00e+00,
-6.84940e-01,8.00e-03,
-6.84840e-01,0.00e+00,
-6.84740e-01,0.00e+00,
-6.84640e-01,8.00e-03,
-6.84540e-01,0.00e+00,
-6.84440e-01,0.00e+00,
-6.84340e-01,0.00e+00,
-6.84240e-01,0.00e+00,
-6.84140e-01,0.00e+00,
-6.84040e-01,0.00e+00,
-6.83940e-01,8.00e-03,
-6.83840e-01,8.00e-03,
-6.83740e-01,0.00e+00,
-6.83640e-01,0.00e+00,
-6.83540e-01,8.00e-03,
-6.83440e-01,0.00e+00,
-6.83340e-01,8.00e-03,
-6.83240e-01,8.00e-03,
-6.83140e-01,0.00e+00,
-6.83040e-01,0.00e+00,
-6.82940e-01,0.00e+00,
-6.82840e-01,0.00e+00,
-6.82740e-01,8.00e-03,
-6.82640e-01,8.00e-03,
-6.82540e-01,0.00e+00,
-6.82440e-01,8.00e-03,
-6.82340e-01,8.00e-03,
-6.82240e-01,0.00e+00,
-6.82140e-01,0.00e+00,
-6.82040e-01,8.00e-03,
-6.81940e-01,8.00e-03,
-6.81840e-01,8.00e-03,
-6.81740e-01,8.00e-03,
-6.81640e-01,0.00e+00,
-6.81540e-01,8.00e-03,
-6.81440e-01,8.00e-03,
-6.81340e-01,0.00e+00,
-6.81240e-01,0.00e+00,
-6.81140e-01,0.00e+00,
-6.81040e-01,8.00e-03,
-6.80940e-01,8.00e-03,
-6.80840e-01,0.00e+00,
-6.80740e-01,8.00e-03,
-6.80640e-01,8.00e-03,
-6.80540e-01,0.00e+00,
-6.80440e-01,8.00e-03,
-6.80340e-01,0.00e+00,
-6.80240e-01,0.00e+00,
-6.80140e-01,0.00e+00,
-6.80040e-01,8.00e-03,
-6.79940e-01,0.00e+00,
-6.79840e-01,0.00e+00,
-6.79740e-01,0.00e+00,
-6.79640e-01,0.00e+00,
-6.79540e-01,8.00e-03,
-6.79440e-01,8.00e-03,
-6.79340e-01,0.00e+00,
-6.79240e-01,0.00e+00,
-6.79140e-01,0.00e+00,
-6.79040e-01,0.00e+00,
-6.78940e-01,0.00e+00,
-6.78840e-01,0.00e+00,
-6.78740e-01,0.00e+00,
-6.78640e-01,0.00e+00,
-6.78540e-01,8.00e-03,
-6.78440e-01,0.00e+00,
-6.78340e-01,0.00e+00,
-6.78240e-01,0.00e+00,
-6.78140e-01,0.00e+00,
-6.78040e-01,0.00e+00,
-6.77940e-01,0.00e+00,
-6.77840e-01,0.00e+00,
-6.77740e-01,0.00e+00,
-6.77640e-01,0.00e+00,
-6.77540e-01,0.00e+00,
-6.77440e-01,0.00e+00,
-6.77340e-01,0.00e+00,
-6.77240e-01,0.00e+00,
-6.77140e-01,0.00e+00,
-6.77040e-01,0.00e+00,
-6.76940e-01,0.00e+00,
-6.76840e-01,0.00e+00,
-6.76740e-01,0.00e+00,
-6.76640e-01,0.00e+00,
-6.76540e-01,0.00e+00,
-6.76440e-01,0.00e+00,
-6.76340e-01,0.00e+00,
-6.76240e-01,8.00e-03,
-6.76140e-01,0.00e+00,
